CONTENT_ID	Brand	Lesson Title	Content Type	CMS URL	Permission IDs	Parent Title
292777	drumeo	Half-Time Shuffle Frustrations	coach-stream	https://admin.musora.com/admin#/content/drumeo/292777	92;94;78;88;89;90	
292765	drumeo	Rosanna On Steroids	coach-stream	https://admin.musora.com/admin#/content/drumeo/292765	92;94;78;88;89;90	
324182	drumeo	2 Days To KoRn - Preparing Massive Shows In A Hurry	coach-stream	https://admin.musora.com/admin#/content/drumeo/324182	92;94;78;88;89;90	
319273	drumeo	Live Requests With Domino!	coach-stream	https://admin.musora.com/admin#/content/drumeo/319273	92;94;78;88;89;90	
306483	drumeo	Domino Performs Live!	coach-stream	https://admin.musora.com/admin#/content/drumeo/306483	92;94;78;88;89;90	
306512	drumeo	The Todd Sucherman Show #29 - The Stewart Copeland Effect	coach-stream	https://admin.musora.com/admin#/content/drumeo/306512	92;94;78;88;89;90	
322315	drumeo	The Todd Sucherman Show #39 - Songs In 5	coach-stream	https://admin.musora.com/admin#/content/drumeo/322315	92;94;78;88;89;90	
301362	drumeo	The Todd Sucherman Show #23 - Tony Williams	coach-stream	https://admin.musora.com/admin#/content/drumeo/301362	92;94;78;88;89;90	
322933	drumeo	The Todd Sucherman Show #44 - Listening Party	coach-stream	https://admin.musora.com/admin#/content/drumeo/322933	92;94;78;88;89;90	
306565	drumeo	Discussing Self Expression	coach-stream	https://admin.musora.com/admin#/content/drumeo/306565	92;94;78;88;89;90	
322933	drumeo	The Todd Sucherman Show #44 - Listening Party	coach-stream	https://admin.musora.com/admin#/content/drumeo/322933	92;94;78;88;89;90	
281241	drumeo	Accents Should Have Impact!	coach-stream	https://admin.musora.com/admin#/content/drumeo/281241	92;94;78;88;89;90	
301378	drumeo	How To Turn Negative Ranting Into Positive Drumming	coach-stream	https://admin.musora.com/admin#/content/drumeo/301378	92;94;78;88;89;90	
306483	drumeo	Domino Performs Live!	coach-stream	https://admin.musora.com/admin#/content/drumeo/306483	92;94;78;88;89;90	
306575	drumeo	The Music That Made Me	coach-stream	https://admin.musora.com/admin#/content/drumeo/306575	92;94;78;88;89;90	
306452	drumeo	Drum & DJ Hybrid Drumming	coach-stream	https://admin.musora.com/admin#/content/drumeo/306452	92;94;78;88;89;90	
306456	drumeo	Matt's Go-To Drum Fills!	coach-stream	https://admin.musora.com/admin#/content/drumeo/306456	92;94;78;88;89;90	
322334	drumeo	Q&A With Matt	coach-stream	https://admin.musora.com/admin#/content/drumeo/322334	92;94;78;88;89;90	
301377	drumeo	Drumming Along With Ableton: The Ultimate Practice Tool	coach-stream	https://admin.musora.com/admin#/content/drumeo/301377	92;94;78;88;89;90	
322933	drumeo	The Todd Sucherman Show #44 - Listening Party	coach-stream	https://admin.musora.com/admin#/content/drumeo/322933	92;94;78;88;89;90	
306512	drumeo	The Todd Sucherman Show #29 - The Stewart Copeland Effect	coach-stream	https://admin.musora.com/admin#/content/drumeo/306512	92;94;78;88;89;90	
281241	drumeo	Accents Should Have Impact!	coach-stream	https://admin.musora.com/admin#/content/drumeo/281241	92;94;78;88;89;90	
301387	drumeo	Identifying The Type Of Drummer You Want To Be	coach-stream	https://admin.musora.com/admin#/content/drumeo/301387	92;94;78;88;89;90	
319273	drumeo	Live Requests With Domino!	coach-stream	https://admin.musora.com/admin#/content/drumeo/319273	92;94;78;88;89;90	
322302	drumeo	Aric's 5 Favourite Drum Songs	coach-stream	https://admin.musora.com/admin#/content/drumeo/322302	92;94;78;88;89;90	
281241	drumeo	Accents Should Have Impact!	coach-stream	https://admin.musora.com/admin#/content/drumeo/281241	92;94;78;88;89;90	
295419	drumeo	The Difference Between Music Now And Then	coach-stream	https://admin.musora.com/admin#/content/drumeo/295419	92;94;78;88;89;90	
301374	drumeo	Q&A With Schack	coach-stream	https://admin.musora.com/admin#/content/drumeo/301374	92;94;78;88;89;90	
306580	drumeo	Drummers On Instagram You Should Follow	coach-stream	https://admin.musora.com/admin#/content/drumeo/306580	92;94;78;88;89;90	
306483	drumeo	Domino Performs Live!	coach-stream	https://admin.musora.com/admin#/content/drumeo/306483	92;94;78;88;89;90	
301386	drumeo	Q&A + Monthly Recap	coach-stream	https://admin.musora.com/admin#/content/drumeo/301386	92;94;78;88;89;90	
346231	drumeo	Click-A-Dee-Click - How To Feel It Instead of Just Hearing It - Q&A	coach-stream	https://admin.musora.com/admin#/content/drumeo/346231	92;94;78;88;89;90	
321075	drumeo	Breaking Cymbals?! Save Yourself With Safer Bashing Techniques!	coach-stream	https://admin.musora.com/admin#/content/drumeo/321075	92;94;78;88;89;90	
321082	drumeo	Q&A With Schack	coach-stream	https://admin.musora.com/admin#/content/drumeo/321082	92;94;78;88;89;90	
301391	drumeo	Creating Captivating Content	coach-stream	https://admin.musora.com/admin#/content/drumeo/301391	92;94;78;88;89;90	
301387	drumeo	Identifying The Type Of Drummer You Want To Be	coach-stream	https://admin.musora.com/admin#/content/drumeo/301387	92;94;78;88;89;90	
319273	drumeo	Live Requests With Domino!	coach-stream	https://admin.musora.com/admin#/content/drumeo/319273	92;94;78;88;89;90	
292766	drumeo	Your Q&A With Schack	coach-stream	https://admin.musora.com/admin#/content/drumeo/292766	92;94;78;88;89;90	
346231	drumeo	Click-A-Dee-Click - How To Feel It Instead of Just Hearing It - Q&A	coach-stream	https://admin.musora.com/admin#/content/drumeo/346231	92;94;78;88;89;90	
307571	drumeo	Hurray, Let's Hip-Hop-A-Way!	coach-stream	https://admin.musora.com/admin#/content/drumeo/307571	92;94;78;88;89;90	
306572	drumeo	Tour Stories	coach-stream	https://admin.musora.com/admin#/content/drumeo/306572	92;94;78;88;89;90	
301370	drumeo	Q&A With Schack	coach-stream	https://admin.musora.com/admin#/content/drumeo/301370	92;94;78;88;89;90	
292782	drumeo	The Todd Sucherman Show #12 - Finding Light In The Darkness	coach-stream	https://admin.musora.com/admin#/content/drumeo/292782	92;94;78;88;89;90	
306512	drumeo	The Todd Sucherman Show #29 - The Stewart Copeland Effect	coach-stream	https://admin.musora.com/admin#/content/drumeo/306512	92;94;78;88;89;90	
306506	drumeo	Drumming Along With Ableton: Triggering From Your Drum Kit	coach-stream	https://admin.musora.com/admin#/content/drumeo/306506	92;94;78;88;89;90	
301370	drumeo	Q&A With Schack	coach-stream	https://admin.musora.com/admin#/content/drumeo/301370	92;94;78;88;89;90	
306580	drumeo	Drummers On Instagram You Should Follow	coach-stream	https://admin.musora.com/admin#/content/drumeo/306580	92;94;78;88;89;90	
319273	drumeo	Live Requests With Domino!	coach-stream	https://admin.musora.com/admin#/content/drumeo/319273	92;94;78;88;89;90	
306509	drumeo	Schack Answers Your Questions!	coach-stream	https://admin.musora.com/admin#/content/drumeo/306509	92;94;78;88;89;90	
338252	drumeo	5 Tools To Test & Master Your Timing - Q&A	coach-stream	https://admin.musora.com/admin#/content/drumeo/338252	92;94;78;88;89;90	
301378	drumeo	How To Turn Negative Ranting Into Positive Drumming	coach-stream	https://admin.musora.com/admin#/content/drumeo/301378	92;94;78;88;89;90	
319273	drumeo	Live Requests With Domino!	coach-stream	https://admin.musora.com/admin#/content/drumeo/319273	92;94;78;88;89;90	
215071	drumeo	iRig BlueTurn Page Turner	gear-guides	https://admin.musora.com/admin#/content/drumeo/215071	92;94;78;88;89;90	
29252	drumeo	Your Hybrid Beat Machine #1 - How To Trigger From Your Acoustic Kit	gear-guides	https://admin.musora.com/admin#/content/drumeo/29252	92;94;78;88;89;90	
303628	drumeo	Modern vs. Vintage Showdown	gear-guides	https://admin.musora.com/admin#/content/drumeo/303628	92;94;78;88;89;90	
29252	drumeo	Your Hybrid Beat Machine #1 - How To Trigger From Your Acoustic Kit	gear-guides	https://admin.musora.com/admin#/content/drumeo/29252	92;94;78;88;89;90	
223909	drumeo	What Is The TM-6?	gear-guides	https://admin.musora.com/admin#/content/drumeo/223909	92;94;78;88;89;90	
29252	drumeo	Your Hybrid Beat Machine #1 - How To Trigger From Your Acoustic Kit	gear-guides	https://admin.musora.com/admin#/content/drumeo/29252	92;94;78;88;89;90	
261651	drumeo	Jason McGerr	in-rhythm	https://admin.musora.com/admin#/content/drumeo/261651	92;94;78;88;89;90	
25268	drumeo	NAMM 2016 Recap	on-the-road	https://admin.musora.com/admin#/content/drumeo/25268	92;94;78;88;89;90	
222303	drumeo	Dali Mraz - "21st Day"	play-along	https://admin.musora.com/admin#/content/drumeo/222303	92;94;78;88;89;90	
387955	drumeo	Drumming To Every Foo Fighters Song In One Take! (183 Songs)	performances	https://admin.musora.com/admin#/content/drumeo/387955	92;94;78;88;89;90	
387955	drumeo	Drumming To Every Foo Fighters Song In One Take! (183 Songs)	performances	https://admin.musora.com/admin#/content/drumeo/387955	92;94;78;88;89;90	
387955	drumeo	Drumming To Every Foo Fighters Song In One Take! (183 Songs)	performances	https://admin.musora.com/admin#/content/drumeo/387955	92;94;78;88;89;90	
387955	drumeo	Drumming To Every Foo Fighters Song In One Take! (183 Songs)	performances	https://admin.musora.com/admin#/content/drumeo/387955	92;94;78;88;89;90	
387955	drumeo	Drumming To Every Foo Fighters Song In One Take! (183 Songs)	performances	https://admin.musora.com/admin#/content/drumeo/387955	92;94;78;88;89;90	
224277	drumeo	Nikko Ielasi - "A Quest For Pocket"	performances	https://admin.musora.com/admin#/content/drumeo/224277	92;94;78;88;89;90	
387955	drumeo	Drumming To Every Foo Fighters Song In One Take! (183 Songs)	performances	https://admin.musora.com/admin#/content/drumeo/387955	92;94;78;88;89;90	
339224	drumeo	Prince - "AIN'T ABOUT 2 STOP"	performances	https://admin.musora.com/admin#/content/drumeo/339224	92;94;78;88;89;90	
387955	drumeo	Drumming To Every Foo Fighters Song In One Take! (183 Songs)	performances	https://admin.musora.com/admin#/content/drumeo/387955	92;94;78;88;89;90	
387955	drumeo	Drumming To Every Foo Fighters Song In One Take! (183 Songs)	performances	https://admin.musora.com/admin#/content/drumeo/387955	92;94;78;88;89;90	
387955	drumeo	Drumming To Every Foo Fighters Song In One Take! (183 Songs)	performances	https://admin.musora.com/admin#/content/drumeo/387955	92;94;78;88;89;90	
