id,type,brand,assignment_id,soundslice_slug,length_in_seconds
383182,song,guitareo,383183,6qX4c,183
383184,song,guitareo,383185,SwH4c,284
383186,song,guitareo,383187,Vhs4c,184
383188,song,guitareo,383189,mz14c,212
383190,song,guitareo,383191,WY84c,218
383192,song,guitareo,383193,kL14c,183
383194,song,guitareo,383195,1X14c,216
383196,song,guitareo,383197,fh14c,145
383198,song,guitareo,383199,h9s4c,202
383200,song,guitareo,383201,mf14c,196
383202,song,guitareo,383203,spH4c,274
383204,song,guitareo,383205,RzH4c,335
383206,song,guitareo,383207,SgX4c,204
383208,song,guitareo,383209,HSH4c,158
383210,song,guitareo,383211,1YJ4c,236
383212,song,guitareo,383213,P1s4c,192
383214,song,guitareo,383215,ZbJ4c,252
383216,song,guitareo,383217,79J4c,209
383218,song,guitareo,383219,ZmY4c,211
383220,song,guitareo,383221,7D14c,171
383222,song,guitareo,383223,jQJ4c,215
383224,song,guitareo,383225,RXq4c,259
383226,song,guitareo,383227,PFF4c,178
383228,song,guitareo,383229,xfH4c,282
383230,song,guitareo,383231,rnJ4c,156
383232,song,guitareo,383233,RZs4c,163
383234,song,guitareo,383235,4HH4c,236
383236,song,guitareo,383237,Frb4c,325
383238,song,guitareo,383239,8l84c,234
383240,song,guitareo,383241,tWb4c,228
383242,song,guitareo,383243,qbT4c,239
383244,song,guitareo,383245,jNT4c,253
383246,song,guitareo,383247,5VT4c,194
383248,song,guitareo,383249,pcT4c,221
383250,song,guitareo,383251,xcH4c,213
383252,song,guitareo,383253,9Vs4c,271
383254,song,guitareo,383255,2HH4c,196
383256,song,guitareo,378139,B7q4c,260
383257,song,guitareo,383258,J4H4c,215
383259,song,guitareo,383260,Y1T4c,257
383261,song,guitareo,383262,wkJ4c,223
383263,song,guitareo,383264,M4J4c,185
383265,song,guitareo,383468,z1H4c,425
383267,song,guitareo,383268,FW14c,207
383269,song,guitareo,383878,np14c,294
383270,song,guitareo,383271,3YH4c,248
383272,song,guitareo,383273,T5q4c,231
383274,song,guitareo,383275,tpH4c,255
383276,song,guitareo,383277,nSH4c,134
383278,song,guitareo,383279,ypH4c,147
383280,song,guitareo,383281,Xzs4c,192
383282,song,guitareo,383283,RSH4c,152
383284,song,guitareo,383285,XHH4c,200
383286,song,guitareo,383287,Vhq4c,292
383288,song,guitareo,383289,sDT4c/,244
383290,song,guitareo,383291,zkH4c,173
383292,song,guitareo,383293,z1T4c,172
383294,song,guitareo,383295,dHH4c,238
383296,song,guitareo,383150,Q2J4c,239
383297,song,guitareo,383298,-vq4c,219
383299,song,guitareo,383300,KHH4c,233
383301,song,guitareo,383302,b-q4c,214
383303,song,guitareo,383304,TVJ4c,163
383305,song,guitareo,383306,mQJ4c,205
383307,song,guitareo,383308,gBT4c,314
383309,song,guitareo,383310,ZvH4c,125
383311,song,guitareo,383312,M1T4c,122
383313,song,guitareo,383314,Zpb4c,155
383315,song,guitareo,383316,CRT4c,349
383317,song,guitareo,383318,cnJ4c,241
383319,song,guitareo,383320,yz84c,150
383321,song,guitareo,383322,NVT4c,175
383323,song,guitareo,383324,5HH4c,273
383325,song,guitareo,383326,1wT4c,170
383327,song,guitareo,383328,FKq4c,234
383329,song,guitareo,383330,hHH4c,216
383331,song,guitareo,383332,B5T4c,191
383333,song,guitareo,383334,9gq4c,186
383335,song,guitareo,383336,gw84c,175
383337,song,guitareo,383338,6qH4c,217
383339,song,guitareo,383340,X1H4c,261
383341,song,guitareo,383342,kqH4c,218
383343,song,guitareo,383344,2Qs4c,139
383345,song,guitareo,383346,mLq4c,164
383347,song,guitareo,383348,1w84c,237
383349,song,guitareo,383350,9xT4c,243
383351,song,guitareo,383352,FyH4c,244
383353,song,guitareo,383354,sV14c,209
383355,song,guitareo,383356,1Ps4c,236
383357,song,guitareo,383358,TPs4c,218
383359,song,guitareo,383360,2PH4c,113
383361,song,guitareo,383362,c5T4c,160
383363,song,guitareo,383364,ygH4c,236
383365,song,guitareo,383366,rVq4c,216
383367,song,guitareo,383368,z6H4c,270
383369,song,guitareo,383370,sqH4c,207
383371,song,guitareo,383372,SpJ4c,181
383373,song,guitareo,383374,n9q4c,205
383375,song,guitareo,383376,ybb4c,141
383377,song,guitareo,383378,kXH4c,164
383379,song,guitareo,383380,NCH4c,129
383381,song,guitareo,383382,Mqs4c,423
383383,song,guitareo,383384,v9b4c,146
383385,song,guitareo,383386,WFb4c,135
383387,song,guitareo,383388,dh14c,208
383389,song,guitareo,383117,6r14c,165
383390,song,guitareo,383391,Jys4c,208
383392,song,guitareo,383393,FxT4c,151
383394,song,guitareo,383395,6q14c,197
383396,song,guitareo,383397,Thq4c,158
383398,song,guitareo,383399,w1H4c,160
383401,song,guitareo,383402,TpH4c,183
383403,song,guitareo,383404,Mbb4c,184
383405,song,guitareo,383406,Zfs4c,376
383407,song,guitareo,383408,jZ34c,148
383409,song,guitareo,383410,7qs4c,174
383411,song,guitareo,383412,XpH4c,197
383413,song,guitareo,383414,tqT4c,154
383415,song,guitareo,383416,B-14c,123
