id,type,title,Genre,Essentials-1,Essentials-2,Theory-1,Theory-2,Creativity-1,Creativity-2,Lifestyle-1,Lifestyle-2
21698,live,Rhythmic Independence Within Latin Drumming,Latin/World,,,,,Grooves,Independence,,
21737,live,Rocking Blues Grooves,Jazz/Blues,,,,,Grooves,,,
21739,live,Essential Ska Grooves,Latin/World,,,,,Grooves,,,
21741,live,Essential Ska Fills,Latin/World,,,,,Fills & Chops,,,
21743,live,Advanced Hip-Hop Grooves,Hip-Hop/Rap/EDM,,,,,Grooves,,,
21747,live,Understanding Odd Time - 5/8,,,,Time Signatures,,Grooves,,,
21765,live,Determining The Feel,,,,Ear Training,,Grooves,,Gigging Tips & Gear,
21769,live,Doubles Around The Kit,,Rudiments,,,,Fills & Chops,,,
21771,live,Rudiment Burn - Single Ratamacue,,Rudiments,,,,,,,
21773,live,Advanced Snare Permutation,,,,,,Grooves,Independence,,
21777,live,Setting Up A Large Kit,,Setup & Tuning,,,,,,Gigging Tips & Gear,
21812,live,Versatile Jazz Licks #1,Jazz/Blues,,,,,Fills & Chops,,,
21814,live,How To Solo,,,,,,Independence,Making Music,Gigging Tips & Gear,
21818,live,Rudiment Burn - 13 Stroke Roll,,Rudiments,,,,,,,
21838,live,Progressive Double-Bass Grooves,Hard Rock/Metal,,,,,Grooves,Double Bass,,
21842,live,Double-Bass Triplets,,,,,,Double Bass,,,
21844,live,Force On The Floor,,,,,,Grooves,,,
21852,live,Setting Up A Double-Bass Kit,,Setup & Tuning,,,,Double Bass,,Gigging Tips & Gear,
21866,live,Creativity On A Small Kit,,Setup & Tuning,,,,Making Music,,Gigging Tips & Gear,
21868,live,The Cover Band Drummer,,,,,,,,Gigging Tips & Gear,Practice Tips
21870,live,Decades Of Drumming Recap,Pop/Rock,,,,,,,,
21872,live,Grooves That Work,,,,Ear Training,,Grooves,Making Music,Gigging Tips & Gear,
21876,live,Understanding Odd Time - 9/8,,,,Time Signatures,,Grooves,,,
21903,live,Bossa Nova Variations,Latin/World,,,,,Grooves,,,
21907,live,How To Develop Your Shuffles,,,,,,Grooves,,,
21909,live,Polyrhythmic Double-Bass Grooves,,,,Time Signatures,,Grooves,Double Bass,,
21911,live,Growing An Idea #1,,,,Ear Training,,Making Music,,Gigging Tips & Gear,Practice Tips
21913,live,Latin Ostinatos,Latin/World,,,,,Grooves,Independence,,
21938,live,Mandatory Grooves - Rock,Pop/Rock,,,,,Grooves,,,
21942,live,The Mozambique,Latin/World,,,,,Grooves,Independence,,
21946,live,Better Watch Out - A Fill Story,,,,,,Fills & Chops,Making Music,Gigging Tips & Gear,
21948,live,Growing An Idea #2,,,,Ear Training,,Making Music,,Gigging Tips & Gear,Practice Tips
21953,live,Mandatory Fills - Rock,Pop/Rock,,,,,Fills & Chops,,,
220241,live,Freedom In Odd Time,,,,Time Signatures,,Independence,,,
22030,live,Versatile Jazz Licks #2,Jazz/Blues,,,,,Fills & Chops,,,
22032,live,Soloing In Odd Time,,,,Time Signatures,,Making Music,,,
22036,live,Benny Greb's Benniest Grooves,,,,,,Grooves,,,
22047,live,David Bowie Grooves,Pop/Rock,,,,,Grooves,,,
22054,live,Rudiment Burn - Flam Accent,,Rudiments,,,,,,,
