id,type,brand,assignment_id,soundslice_slug,length_in_seconds
380822,song,singeo,380823,q7C4c,106
380824,song,singeo,380825,H7C4c,205
380826,song,singeo,380827,T7C4c,311
380828,song,singeo,380829,J7C4c,204
380830,song,singeo,380831,b7C4c,417
380832,song,singeo,380833,s7C4c,150
380834,song,singeo,380835,17C4c,255
380836,song,singeo,380837,87C4c,219
380838,song,singeo,380839,d7C4c,171
380840,song,singeo,380841,77C4c,284
380842,song,singeo,380143,W7C4c,162
380843,song,singeo,380844,B7C4c,227
380845,song,singeo,386059,cvM4c,195
380847,song,singeo,380848,L7C4c,231
380849,song,singeo,380850,j7C4c,179
380851,song,singeo,380852,P7C4c,212
380853,song,singeo,380854,97C4c,319
380855,song,singeo,380856,K7C4c,249
380857,song,singeo,380858,x7C4c,189
380859,song,singeo,380860,-7C4c,231
380861,song,singeo,381299,Q7C4c,175
380863,song,singeo,380864,n7C4c,253
380865,song,singeo,380866,F7C4c,216
380867,song,singeo,380868,t7C4c,129
380869,song,singeo,380073,57C4c,259
380870,song,singeo,380871,g7C4c,216
380872,song,singeo,380873,67C4c,92
380874,song,singeo,380875,G7C4c,165
380876,song,singeo,380877,r7C4c,178
380878,song,singeo,380879,h7C4c,140
380880,song,singeo,380881,m7C4c,92
380882,song,singeo,380883,v7C4c,214
380884,song,singeo,380885,S7C4c,120
380886,song,singeo,380887,p7C4c,162
380888,song,singeo,380889,NWC4c,198
380890,song,singeo,380891,cWC4c,258
380892,song,singeo,380893,VWC4c,198
380894,song,singeo,380895,Cn34c,210
380896,song,singeo,380897,Rn34c,277
380898,song,singeo,380899,3n34c,197
380900,song,singeo,380901,Xn34c,211
380902,song,singeo,380903,8534c,266
380904,song,singeo,380905,1n34c,140
380906,song,singeo,380907,8n34c,236
380908,song,singeo,380909,dn34c,212
380910,song,singeo,380911,7n34c,167
380912,song,singeo,380913,Wn34c,160
380914,song,singeo,380915,Bn34c,221
380916,song,singeo,380917,Zn34c,255
380918,song,singeo,381290,Ln34c,190
380919,song,singeo,380920,jn34c,249
380921,song,singeo,380922,Pn34c,246
380923,song,singeo,380924,9n34c,243
380925,song,singeo,380926,Kn34c,218
380927,song,singeo,380928,xn34c,283
380929,song,singeo,380930,-n34c,168
380931,song,singeo,380932,Qn34c,284
380933,song,singeo,380934,nn34c,236
380935,song,singeo,380936,Fn34c,232
380937,song,singeo,380938,tn34c,217
380939,song,singeo,380940,5n34c,163
380941,song,singeo,380942,gn34c,246
380943,song,singeo,380944,6n34c,172
380945,song,singeo,380946,Gn34c,165
380947,song,singeo,380948,rn34c,277
380949,song,singeo,380950,hn34c,128
380951,song,singeo,380952,mn34c,213
380953,song,singeo,380954,vn34c,181
380955,song,singeo,380956,Sn34c,236
380957,song,singeo,380958,pn34c,267
380959,song,singeo,380960,NF34c,262
380961,song,singeo,380962,cF34c,188
380963,song,singeo,380964,VF34c,166
380965,song,singeo,380966,fF34c,253
380967,song,singeo,380968,DF34c,221
380969,song,singeo,380970,MF34c,246
380971,song,singeo,380972,kF34c,165
380973,song,singeo,380974,4F34c,257
380975,song,singeo,380976,yF34c,229
380977,song,singeo,380978,wF34c,266
380979,song,singeo,380980,YF34c,208
380981,song,singeo,380982,lF34c,253
380983,song,singeo,380984,TCP4c,290
380985,song,singeo,380986,2F34c,255
380987,song,singeo,380988,CF34c,227
380989,song,singeo,380990,RF34c,149
380991,song,singeo,380992,3F34c,241
380993,song,singeo,380994,XF34c,201
380995,song,singeo,380996,qF34c,184
380997,song,singeo,380998,HF34c,262
380999,song,singeo,381000,TF34c,231
381001,song,singeo,381002,JF34c,199
381003,song,singeo,381004,bF34c,220
381005,song,singeo,381006,sF34c,175
381007,song,singeo,381008,1F34c,324
381009,song,singeo,381010,8F34c,201
381011,song,singeo,381012,dF34c,185
381013,song,singeo,381014,7F34c,206
381015,song,singeo,381016,WF34c,214
381017,song,singeo,381018,BF34c,164
381019,song,singeo,381286,ZF34c,217
381021,song,singeo,381022,jF34c,224
381023,song,singeo,381024,PF34c,411
381025,song,singeo,381026,9F34c,222
381027,song,singeo,381028,KF34c,216
381029,song,singeo,381030,xF34c,220
381031,song,singeo,381032,-F34c,224
381033,song,singeo,381034,QF34c,214
381035,song,singeo,381036,nF34c,204
381037,song,singeo,381038,FF34c,386
381039,song,singeo,381040,tF34c,196
381041,song,singeo,381042,5F34c,310
381043,song,singeo,381044,gF34c,154
381045,song,singeo,381046,6F34c,276
381047,song,singeo,381048,GF34c,280
381049,song,singeo,381050,rF34c,255
381051,song,singeo,381052,mF34c,227
381053,song,singeo,381054,vF34c,199
381055,song,singeo,381056,SF34c,160
381057,song,singeo,381058,pF34c,238
381059,song,singeo,381060,Nt34c,229
381061,song,singeo,381062,ct34c,204
381063,song,singeo,381064,Vt34c,282
381065,song,singeo,381066,ft34c,236
381067,song,singeo,381068,Dt34c,230
381069,song,singeo,381070,Mt34c,242
381071,song,singeo,381072,kt34c,182
381073,song,singeo,381300,4t34c,210
381075,song,singeo,381076,yt34c,206
381077,song,singeo,381078,wt34c,224
381079,song,singeo,381080,Yt34c,223
381081,song,singeo,381082,lt34c,181
381083,song,singeo,381084,zt34c,167
381085,song,singeo,381086,2t34c,249
381087,song,singeo,381088,Ct34c,230
381089,song,singeo,381090,Rt34c,321
381091,song,singeo,381092,3t34c,211
381093,song,singeo,383473,Xt34c,185
381095,song,singeo,381096,qt34c,181
381097,song,singeo,381098,Ht34c,237
381099,song,singeo,381100,Tt34c,246
381101,song,singeo,381102,Jt34c,138
381103,song,singeo,381104,bt34c,197
381105,song,singeo,381106,st34c,210
381107,song,singeo,383474,1t34c,249
381109,song,singeo,381110,8t34c,229
381111,song,singeo,381112,dt34c,259
381113,song,singeo,381114,7t34c,172
381115,song,singeo,381116,Wt34c,198
381117,song,singeo,381118,Bt34c,225
381119,song,singeo,381120,Zt34c,127
381121,song,singeo,381122,Lt34c,277
381123,song,singeo,381124,jt34c,240
381125,song,singeo,381126,Pt34c,259
381127,song,singeo,381128,9t34c,159
381129,song,singeo,381130,Kt34c,195
381131,song,singeo,381132,xt34c,259
381133,song,singeo,381134,-t34c,307
381135,song,singeo,381136,Qt34c,224
381137,song,singeo,381138,nt34c,205
381139,song,singeo,381074,vbC4c,248
381140,song,singeo,381141,rbC4c,226
381142,song,singeo,381143,6bC4c,238
381144,song,singeo,381145,KbC4c,237
381146,song,singeo,381147,1TC4c,247
381148,song,singeo,381149,sTC4c,228
381150,song,singeo,381151,-N34c,206
381152,song,singeo,381153,HTC4c,259
381154,song,singeo,381155,XTC4c,299
381156,song,singeo,381157,3TC4c,334
381158,song,singeo,381159,CTC4c,321
381160,song,singeo,381161,zTC4c,217
381162,song,singeo,381163,Tc34c,260
381164,song,singeo,381165,cTC4c,245
381166,song,singeo,380862,vHC4c,271
381167,song,singeo,380393,NsC4c,230
381168,song,singeo,381169,Ft34c,156
381170,song,singeo,381171,hfX4c,189
381172,song,singeo,381173,5t34c,244
381174,song,singeo,381175,gt34c,153
381176,song,singeo,381177,6t34c,287
381178,song,singeo,381179,Gt34c,235
381180,song,singeo,381181,rt34c,220
381182,song,singeo,381183,ht34c,243
381184,song,singeo,381185,mt34c,250
381186,song,singeo,381187,vt34c,200
381188,song,singeo,381189,St34c,223
381190,song,singeo,381191,pt34c,161
381192,song,singeo,381193,N534c,222
381194,song,singeo,381195,c534c,137
381196,song,singeo,381197,V534c,199
381198,song,singeo,381199,f534c,241
381200,song,singeo,381201,D534c,227
381202,song,singeo,381203,M534c,153
381204,song,singeo,381205,k534c,258
381206,song,singeo,381207,4534c,324
381208,song,singeo,381209,y534c,97
381210,song,singeo,381211,w534c,108
381212,song,singeo,381213,Y534c,176
381214,song,singeo,381215,l534c,104
381216,song,singeo,381217,z534c,196
381218,song,singeo,381219,2534c,166
381220,song,singeo,381221,C534c,269
381222,song,singeo,381223,R534c,185
381224,song,singeo,381225,3534c,216
381226,song,singeo,381227,X534c,141
381228,song,singeo,381229,q534c,194
381230,song,singeo,381231,H534c,133
381232,song,singeo,381233,T534c,169
381234,song,singeo,381235,J534c,145
381236,song,singeo,381237,DG34c,227
381238,song,singeo,381239,rHC4c,223
382813,song,singeo,382814,y114c,259
382815,song,singeo,382816,w114c,192
382817,song,singeo,382818,Y114c,220
382819,song,singeo,382820,l114c,233
382821,song,singeo,382822,z114c,221
382823,song,singeo,382824,2114c,177
382825,song,singeo,382826,C114c,250
382827,song,singeo,382828,R114c,259
382829,song,singeo,382830,3114c,184
382831,song,singeo,382832,X114c,234
382833,song,singeo,382834,q114c,238
382835,song,singeo,382836,H114c,205
382837,song,singeo,382838,T114c,236
382839,song,singeo,382840,J114c,170
382841,song,singeo,382842,b114c,242
382843,song,singeo,382844,s114c,270
382845,song,singeo,382846,1114c,297
382847,song,singeo,382848,8114c,235
382849,song,singeo,382850,d114c,119
382853,song,singeo,382854,W114c,227
382855,song,singeo,382856,B114c,220
382857,song,singeo,382858,Z114c,205
382859,song,singeo,382860,L114c,239
382861,song,singeo,382862,j114c,200
382863,song,singeo,382864,P114c,249
382865,song,singeo,382866,9114c,294
382867,song,singeo,382868,K114c,270
382869,song,singeo,382870,x114c,219
382871,song,singeo,382872,-114c,245
382873,song,singeo,382874,Q114c,209
382875,song,singeo,382876,n114c,272
382877,song,singeo,382878,F114c,196
382879,song,singeo,382880,t114c,280
382881,song,singeo,382882,5114c,260
382883,song,singeo,382884,g114c,210
382885,song,singeo,382886,6114c,211
382887,song,singeo,382888,G114c,186
382889,song,singeo,382890,r114c,300
382891,song,singeo,382892,h114c,133
382893,song,singeo,382894,m114c,340
382897,song,singeo,382898,S114c,156
382899,song,singeo,382900,p114c,213
382901,song,singeo,382902,N814c,149
382903,song,singeo,382904,c814c,200
382905,song,singeo,382906,V814c,204
382907,song,singeo,382908,f814c,194
382909,song,singeo,382910,D814c,230
382911,song,singeo,381094,M814c,165
382912,song,singeo,382913,k814c,199
382914,song,singeo,381108,4814c,232
382915,song,singeo,382916,y814c,191
382917,song,singeo,382918,w814c,286
382919,song,singeo,382920,Y814c,178
382921,song,singeo,382922,l814c,151
382923,song,singeo,382924,2814c,140
382925,song,singeo,382926,C814c,270
382927,song,singeo,382928,R814c,274
382929,song,singeo,382930,3814c,129
382931,song,singeo,382932,X814c,296
382933,song,singeo,382934,q814c,242
382935,song,singeo,382936,H814c,161
382937,song,singeo,382938,T814c,94
382939,song,singeo,382940,b814c,232
382941,song,singeo,382942,s814c,192
382943,song,singeo,382944,1814c,190
382945,song,singeo,382946,8814c,176
382947,song,singeo,382948,d814c,181
382949,song,singeo,382950,7814c,158
382951,song,singeo,382952,W814c,237
382953,song,singeo,382954,B814c,211
382955,song,singeo,382956,Z814c,185
382957,song,singeo,382958,L814c,325
382959,song,singeo,382960,j814c,182
382961,song,singeo,382962,P814c,234
382963,song,singeo,382964,9814c,195
382965,song,singeo,382966,K814c,323
382967,song,singeo,382968,x814c,173
