id,type,title,Genre,Essentials-1,Essentials-2,Theory-1,Theory-2,Creativity-1,Creativity-2,Lifestyle-1,Lifestyle-2
312392,course,Dr. Throwdown’s Drum Line Summer Camp,,,,,,,,,Performance
31243,quick-tips,Ghosts,,,,,,,,,
31282,gear-guides,"Gear Review - ""Cymbomute""",Pop/Rock,,,,,,Making Music,Performance,
31298,course,Enhancing Musicality With The Paradiddle-riddle-diddle,,,,,,,,,
313275,coach-stream,September Recap & Q&A With Aric Improta,,Rudiments,,,,,,,
31333,course,Fastest Way To Get Faster,Latin/World,,,,,Fills & Chops,,,
31371,performances,Thunder Duo Live Perfomance,,,,,,,,Gigging Tips & Gear,
313754,coach-stream,A Guide To Hi-Hat Splashes,,Rudiments,,,,,,,
313755,coach-stream,Improve Your Timing – Dancing With The Left Foot,,,,,,,,,Other
313756,coach-stream,Let's Shift The Accent!,,,,,,,,,Gigging Tips & Gear
313757,coach-stream,Gaddiments – Swiss Flamadiddles Displaced,,Hand Technique,Foot Technique,,,Independence,,,
31398,course,The Grooves Of Porcupine Tree,,,,,,,,,
314113,quick-tips,How To Sing And Play Drums At The Same Time,,,,,,,,,Other
31430,boot-camps,Advanced Double Stroke Roll Boot Camp,,Foot Technique,,,,Independence,,,
31432,boot-camps,Absolute Beginner's Bass Drum Boot Camp,,Foot Technique,Rudiments,,,Independence,,,
31461,course,Bass Drum Calibration: 16th Note Coordination,Hard Rock/Metal,,,,,Grooves,,,
314782,podcasts,Not Limited By My Location (With Wiktoria Bialic),,Rudiments,,,,Fills & Chops,,,
31521,gear-guides,"Gear Review - ""Snareweight"" Dampeners",,,Rudiments,,,,,,
31538,boot-camps,Early Intermediate Double Stroke Roll Boot Camp,Jazz/Blues,,,,,,,Gigging Tips & Gear,
31562,course,Bass Drum Calibration: Triplet Coordination,,,,,,,,,
31612,course,Legendary Hi-Hat Tricks,,Foot Technique,,,,Grooves,,,
316406,performances,"Drum Louder Than The Negativity - Bruno Mars' ""Uptown Funk""",,,,,,,,,Podcast
31694,gear-guides,Snare Drum-parisons - 10 Inch Snares,,,,,,,,,
317140,performances,"Imonolith - ""Hollow""",Country/Folk,,,,,,,,Performance
31725,performances,Josh Dion Live Show,,,,,,,,Gigging Tips & Gear,
31727,course,The Roland TD-50,,,,,,,,Other,
317279,performances,"Tiago Joaninho & Pedro Joaninho - ""Moonset""",,,,,,,,,
